feature,importance_mean,importance_std
ca,0.0828382838283828,0.011023629296441765
cp,0.07150715071507145,0.012648873356923933
thal,0.04136413641364133,0.009593060222922615
oldpeak,0.018811881188118763,0.006328262714310082
age,0.01870187018701865,0.0062812331897118545
thalach,0.012211221122112181,0.008000606308284572
sex,0.008140814081408106,0.004724072729061366
exang,0.0077007700770076685,0.004693229704664809
chol,0.0070407040704070145,0.002918921707683539
slope,0.004070407040704023,0.002202968580253111
trestbps,0.0024202420242023866,0.003707876687866385
restecg,0.0008800880088008427,0.002943693764633575
fbs,-0.002860286028602895,0.0011218964826386901
